"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","auc_explain","auc_test"
249,0,1,1,0,1,0.1,"relu",0.3,0,0.907322732972547,0.652844526479342
250,0.1,0.9,0.5,0.5,2,0.1,"relu",1,0.4,0.891630957472813,0.652575039450797
251,0.1,0.9,0.25,0.25,1,0.5,"relu",0.7,0.5,0.738513385081277,0.638235954032621
252,0.1,0.9,0.25,0,2,0.5,"relu",0.8,0.3,0.712590148769508,0.608197433650363
253,0.1,0.7,0.25,0.25,2,0.3,"relu",0.8,0,0.819561883654097,0.665670170448465
254,0.1,0.7,0,0.25,2,0.5,"relu",0.2,0.1,0.75925727209114,0.587447179011747
255,0.3,0.8,0,1,1,0.3,"relu",0.7,0.4,0.878743508062543,0.644781827233625
256,0.1,0.9,1,0.75,1,0.5,"relu",0.7,1,0.746326209139551,0.620640728211653
257,0.1,0.7,0.25,0,1,0.1,"relu",0.4,1,0.894831029597997,0.656137341461645
258,0.2,0.7,1,0.75,2,0.3,"relu",0,0.2,0.777922242528685,0.622768723060933
259,0.2,0.8,0,0.25,2,0.1,"relu",0.3,0.2,0.912842544706854,0.661248787226253
260,0.2,0.8,0.75,1,2,0.3,"relu",0.2,0.2,0.832628658862253,0.663015176285824
261,0.1,0.7,1,1,2,0.3,"relu",0.3,0,0.837311655714551,0.66138829965032
262,0,0.7,0,0.75,2,0.3,"relu",0,0.4,0.840760524896803,0.621903448429589
263,0.1,1,0,0.75,2,0.3,"relu",0.5,0,0.859277992377037,0.645577243050195
264,0.3,1,0,1,1,0.5,"relu",0.9,0.3,0.793702094983155,0.613162112153885
265,0.3,0.7,0,1,2,0.1,"relu",0.7,0,0.919978732211036,0.646375899193393
266,0.3,0.8,1,1,2,0.3,"relu",0.6,0.4,0.831598260440209,0.657444631487308
267,0,1,0.25,1,2,0.3,"relu",0.2,0.5,0.868757162989225,0.66469691847115
268,0.1,1,0.75,0.25,1,0.1,"relu",0.2,0.4,0.896987142444159,0.659070720855683
269,0.3,0.8,0.5,0.75,2,0.3,"relu",0.1,0.3,0.824750664733767,0.658349179214013
270,0,1,0,1,2,0.3,"relu",0.4,1,0.868668422740566,0.641149029241604
271,0.1,0.9,0.25,0.5,2,0.1,"relu",1,0.6,0.893287809214704,0.651821006381507
272,0,1,0,0,1,0.3,"relu",0.8,0.7,0.898442181014984,0.654274937019737
273,0.2,1,0.25,0.75,2,0.3,"relu",0.8,0.5,0.837073497899844,0.658900433348744
274,0,0.7,0.75,1,1,0.3,"relu",0.3,0.7,0.889649738247227,0.658221846079238
275,0.2,0.8,0.75,0.25,1,0.3,"relu",0.3,0.6,0.846422945249407,0.659551426512539
276,0,0.7,0.25,0.25,1,0.3,"relu",0.3,1,0.865795181260393,0.664171803812566
277,0.3,0.8,1,0,1,0.1,"relu",0.8,0.1,0.890505936457589,0.653664374169701
