Sample	r_processed	r_with_adapters	bp_processed	quality_trimmed	percent_trimmed	bp_written
652934-M2-S2_BDSW190603082-1a_1	27958785	10681411	4193817750	8439287	0.6554923136562146	4166327597
652934-M2-S2_BDSW190603082-1a_2	27958785	10667950	4193817750	9809305	0.7089159990321467	4164087105
700226-M1-S1_BDSW190603083-1a_1	30388175	11752142	4558226250	12071588	0.731101642881373	4524900983
700226-M1-S1_BDSW190603083-1a_2	30388175	11618511	4558226250	13024475	0.7778491030365156	4522770128
700226-M1-S2_BDSW190603084-1a_1	22525562	8718711	3378834300	5379140	0.5663891537978053	3359696949
700226-M1-S2_BDSW190603084-1a_2	22525562	8704806	3378834300	6986113	0.6329399461820309	3357448308
700226-M2-S1_BDSW190603085-1a_1	28530130	10675265	4279519500	6816295	0.5922674496517658	4254173299
700226-M2-S1_BDSW190603085-1a_2	28530130	10638759	4279519500	8999337	0.6689354961462379	4250892275
700226-M2-S2_BDSW190603086-1a_1	24718076	9185659	3707711400	5976100	0.6235990751599491	3684590146
700226-M2-S2_BDSW190603086-1a_2	24718076	9153278	3707711400	8194161	0.7191272761952292	3681048236
700239-M1-S1_BDSW190603087-1a_1	25758254	9726423	3863738100	6863859	0.6215841596509867	3839721716
700239-M1-S1_BDSW190603087-1a_2	25758254	9666754	3863738100	8212132	0.6777525629907472	3837551516
700239-M1-S2_BDSW190603088-1a_1	27551428	10416307	4132714200	6861207	0.6263695176404891	4106828138
700239-M1-S2_BDSW190603088-1a_2	27551428	10378652	4132714200	9553599	0.7306137211230334	4102520023
HOBO-014-M1-S1_BDSW190603089-1a_1	34512179	13241625	5176826850	12070318	0.6563184936347639	5142850378
HOBO-014-M1-S1_BDSW190603089-1a_2	34512179	13267520	5176826850	15818337	0.7477287945220729	5138118225
HOBO-014-M1-S2_BDSW190603090-1a_1	31543966	12244843	4731594900	6164090	0.5439539424645166	4705857203
HOBO-014-M1-S2_BDSW190603090-1a_2	31543966	12198661	4731594900	8303864	0.6040103306392524	4703015578
HOBO-016-M1-S2_BDSW190603091-1a_1	25154261	9677549	3773139150	7862087	0.7364795968364962	3745350750
HOBO-016-M1-S2_BDSW190603091-1a_2	25154261	9620444	3773139150	8871317	0.7836142751321535	3743572293
HOBO-032-M1-S1_BDSW190603092-1a_1	36906847	14099831	5536027050	12822238	0.6701965085232017	5498924790
HOBO-032-M1-S1_BDSW190603092-1a_2	36906847	14081207	5536027050	13387441	0.7080900914311826	5496826991
HOBO-032-M1-S2-1_BDSW190603094-1a_1	31568846	12337982	4735326900	5900855	0.5247572453762379	4710477929
HOBO-032-M1-S2-1_BDSW190603094-1a_2	31568846	12277649	4735326900	7166747	0.5621316872547912	4708708127
HOBO-032-M1-S2_BDSW190603093-1a_1	32866036	12565069	4929905400	8073337	0.583936316506195	4901117892
HOBO-032-M1-S2_BDSW190603093-1a_2	32866036	12568265	4929905400	9937006	0.6473500079737838	4897991657
HOBO-032-M2-S1_BDSW190603095-1a_1	27943751	10660708	4191562650	12821247	0.8327699455953498	4156656576
HOBO-032-M2-S1_BDSW190603095-1a_2	27943751	10600232	4191562650	13447895	0.8695085590573243	4155116654
HOBO-036-M1-S2-1_BDSW190603097-1a_1	23545099	8988413	3531764850	9746388	0.7210049106185538	3506300652
HOBO-036-M1-S2-1_BDSW190603097-1a_2	23545099	8946635	3531764850	9656538	0.7360394336559525	3505769668
HOBO-036-M1-S2_BDSW190603096-1a_1	23363719	8925752	3504557850	6087844	0.6150441488645993	3483003272
HOBO-036-M1-S2_BDSW190603096-1a_2	23363719	8909392	3504557850	6921098	0.6615537534927551	3481373316
HOBO-036-M2-S1_BDSW190603098-1a_1	30654082	11695033	4598112300	9730215	0.6236971854732648	4569434003
HOBO-036-M2-S1_BDSW190603098-1a_2	30654082	11684797	4598112300	10143725	0.650285553051847	4568211440
HOBO-036-M2-S2_BDSW190603099-1a_1	30030626	11488137	4504593900	8608976	0.6186337463183973	4476726962
HOBO-036-M2-S2_BDSW190603099-1a_2	30030626	11407179	4504593900	9328656	0.6527084050795344	4475192037
HOBO-053-M1-S1_BDSW190603100-1a_1	35674334	13621482	5351150100	15761913	0.7449581539489988	5311286271
HOBO-053-M1-S1_BDSW190603100-1a_2	35674334	13605365	5351150100	18828710	0.836460745139629	5306389830
HOBO-053-M1-S2_BDSW190603101-1a_1	29646366	11275696	4446954900	17969355	1.0579303154165112	4399909216
HOBO-053-M1-S2_BDSW190603101-1a_2	29646366	11192687	4446954900	21612841	1.1916519324268389	4393962676
HOBO-055-M1-S1_BDSW190603102-1a_1	26592985	10169454	3988947750	9527119	0.6838854181531959	3961667918
HOBO-055-M1-S1_BDSW190603102-1a_2	26592985	10080436	3988947750	12744010	0.7929088065894069	3957319032
HOBO-055-M1-S2_BDSW190603103-1a_1	23990965	9031730	3598644750	18062644	1.1796974680537722	3556191629
HOBO-055-M1-S2_BDSW190603103-1a_2	23990965	8960711	3598644750	20999925	1.3088077393579902	3551545409
HOBO-055-M2-S1_BDSW190603104-1a_1	22633497	8621472	3395024550	8186414	0.6893028800042109	3371622548
HOBO-055-M2-S1_BDSW190603104-1a_2	22633497	8596115	3395024550	9875325	0.7648078715660539	3369059135
HOBO-060-M1-S2_BDSW190603105-1a_1	31614709	12204976	4742206350	12229877	0.8288725563365669	4702899503
HOBO-060-M1-S2_BDSW190603105-1a_2	31614709	12154261	4742206350	16754785	0.957552279436343	4696797245
HOBO-063-M1-S1_BDSW190603106-1a_1	33353514	12800347	5003027100	9512805	0.5863963239375617	4973689533
HOBO-063-M1-S1_BDSW190603106-1a_2	33353514	12756425	5003027100	12765053	0.6704561324482932	4969483998
HOBO-063-M1-S2_BDSW190603107-1a_1	24270336	9189609	3640550400	15480154	1.1854477004356263	3597393579
HOBO-063-M1-S2_BDSW190603107-1a_2	24270336	9127214	3640550400	18070098	1.3442817602525157	3591611145
